,Date,Time,x1,y1,x2,y2,Num
31446,2017/1/1,10,747.0791111000001,765.4584871000001,680.2414222,592.9448876,25
31447,2017/1/1,11,747.0791111000001,765.4584871000001,680.2414222,592.9448876,21
31448,2017/1/1,12,747.0791111000001,765.4584871000001,680.2414222,592.9448876,20
31449,2017/1/1,13,747.0791111000001,765.4584871000001,680.2414222,592.9448876,25
31450,2017/1/1,14,747.0791111000001,765.4584871000001,680.2414222,592.9448876,17
31451,2017/1/1,15,747.0791111000001,765.4584871000001,680.2414222,592.9448876,13
31452,2017/1/1,16,747.0791111000001,765.4584871000001,680.2414222,592.9448876,13
31453,2017/1/1,17,747.0791111000001,765.4584871000001,680.2414222,592.9448876,20
31454,2017/1/1,18,747.0791111000001,765.4584871000001,680.2414222,592.9448876,27
31455,2017/1/1,19,747.0791111000001,765.4584871000001,680.2414222,592.9448876,13
31456,2017/1/1,20,747.0791111000001,765.4584871000001,680.2414222,592.9448876,9
31457,2017/1/1,21,747.0791111000001,765.4584871000001,680.2414222,592.9448876,14
31458,2017/1/1,22,747.0791111000001,765.4584871000001,680.2414222,592.9448876,9
31459,2017/1/1,23,747.0791111000001,765.4584871000001,680.2414222,592.9448876,5
31460,2017/1/1,0,745.4968888999999,725.1934052999999,680.2414222,592.9448876,1
31461,2017/1/1,1,745.4968888999999,725.1934052999999,680.2414222,592.9448876,0
31462,2017/1/1,6,745.4968888999999,725.1934052999999,680.2414222,592.9448876,1
31463,2017/1/1,7,745.4968888999999,725.1934052999999,680.2414222,592.9448876,8
31464,2017/1/1,8,745.4968888999999,725.1934052999999,680.2414222,592.9448876,18
31465,2017/1/1,9,745.4968888999999,725.1934052999999,680.2414222,592.9448876,20
31466,2017/1/1,10,745.4968888999999,725.1934052999999,680.2414222,592.9448876,17
31467,2017/1/1,11,745.4968888999999,725.1934052999999,680.2414222,592.9448876,21
31468,2017/1/1,12,745.4968888999999,725.1934052999999,680.2414222,592.9448876,30
31469,2017/1/1,13,745.4968888999999,725.1934052999999,680.2414222,592.9448876,18
31470,2017/1/1,14,745.4968888999999,725.1934052999999,680.2414222,592.9448876,22
31471,2017/1/1,15,745.4968888999999,725.1934052999999,680.2414222,592.9448876,15
31472,2017/1/1,16,745.4968888999999,725.1934052999999,680.2414222,592.9448876,15
