Code,Name,Lat,Lon,region1,region2
XA,Xinyi Anhe,789.2711111,568.3628372,Asia,Taiwan
DAP,Daan Park,725.5395556,566.8512011,Asia,Taiwan
BM,Beimen,636.5461333,505.0059069,Asia,Taiwan
SJNJ,Songjiang Nanjing,717.5836444,492.779377,Asia,Taiwan
TA,Taipei Arena,784.9002667,495.7710051,Asia,Taiwan
NJSM,Nanjing Sanmin,828.9667556,496.5988175,Asia,Taiwan
SS,Songshan,876.3854222,502.2292932,Asia,Taiwan
FJU,Fu Jen University,371.7774222,569.8591643,Asia,Taiwan
XZH,Xinzhuang,430.4636444,556.5985094,Asia,Taiwan
TQH,Touqianzhuang,463.5541333,543.0225964,Asia,Taiwan
XT,Xianse Temple,500.8810667,515.8668744,Asia,Taiwan
SC,Sanchong,542.9212444,480.2590325,Asia,Taiwan
CL,Cailiao,568.4917333,464.3675197,Asia,Taiwan
TBD,Taipei Bridge,599.5306667,451.4331191,Asia,Taiwan
DQT,Daqiaotou,645.6846222,451.5166067,Asia,Taiwan
ZES,Zhongshan Elementary School,698.3626667,452.5818083,Asia,Taiwan
XTT,Xingtian Temple,717.8894222,470.9705507,Asia,Taiwan
DM,Dongmen,700.6997333,565.311463,Asia,Taiwan
LZ,Luzhou,473.2704,339.0825608,Asia,Taiwan
SSHS,Sanmin Senior High School,504.8565333,362.2193286,Asia,Taiwan
SIHS,Saint Ignatius High School,527.5239111,381.5679481,Asia,Taiwan
SJHS,Sanhe Junior High School,551.4570667,397.0114237,Asia,Taiwan
SES,Sanchong Elementary School,590.9009778,423.9897574,Asia,Taiwan
HL,Huilong,289.4677333,610.0863738,Asia,Taiwan
DF,Danfeng,325.1523556,584.9577159,Asia,Taiwan
